# This pad file is for the IFX 2S sensor for the 8-inch runs

Campaign: Infineon 8-inch 2S					
Creator: Dominic Bloech 11.1.2018
				
reference pad: 1			
reference pad: 1016					
reference pad: 1017			

pad strip	x	y	z
144	144	-12870	0	0	10000
145	145	-12960	0	0	10000
146	146	-13050	0	0	10000
147	147	-13140	0	0	10000
148	148	-13230	0	0	10000
149	149	-13320	0	0	10000
150	150	-13410	0	0	10000
151	151	-13500	0	0	10000
152	152	-13590	0	0	10000
153	153	-13680	0	0	10000
154	154	-13770	0	0	10000
155	155	-13860	0	0	10000
156	156	-13950	0	0	10000
157	157	-14040	0	0	10000
158	158	-14130	0	0	10000
159	159	-14220	0	0	10000
160	160	-14310	0	0	10000
161	161	-14400	0	0	10000
162	162	-14490	0	0	10000
163	163	-14580	0	0	10000
164	164	-14670	0	0	10000
165	165	-14760	0	0	10000
166	166	-14850	0	0	10000
167	167	-14940	0	0	10000
168	168	-15030	0	0	10000
169	169	-15120	0	0	10000
170	170	-15210	0	0	10000
171	171	-15300	0	0	10000
172	172	-15390	0	0	10000
173	173	-15480	0	0	10000
174	174	-15570	0	0	10000
175	175	-15660	0	0	10000
176	176	-15750	0	0	10000
177	177	-15840	0	0	10000
178	178	-15930	0	0	10000
179	179	-16020	0	0	10000
180	180	-16110	0	0	10000
181	181	-16200	0	0	10000
182	182	-16290	0	0	10000
183	183	-16380	0	0	10000
184	184	-16470	0	0	10000
185	185	-16560	0	0	10000
186	186	-16650	0	0	10000
187	187	-16740	0	0	10000
188	188	-16830	0	0	10000
189	189	-16920	0	0	10000
190	190	-17010	0	0	10000
191	191	-17100	0	0	10000
192	192	-17190	0	0	10000
193	193	-17280	0	0	10000
194	194	-17370	0	0	10000
195	195	-17460	0	0	10000
196	196	-17550	0	0	10000
197	197	-17640	0	0	10000
198	198	-17730	0	0	10000
199	199	-17820	0	0	10000
200	200	-17910	0	0	10000
201	201	-18000	0	0	10000
202	202	-18090	0	0	10000
203	203	-18180	0	0	10000
204	204	-18270	0	0	10000
205	205	-18360	0	0	10000
206	206	-18450	0	0	10000
207	207	-18540	0	0	10000
208	208	-18630	0	0	10000
209	209	-18720	0	0	10000
210	210	-18810	0	0	10000
211	211	-18900	0	0	10000
212	212	-18990	0	0	10000
213	213	-19080	0	0	10000
214	214	-19170	0	0	10000
215	215	-19260	0	0	10000
216	216	-19350	0	0	10000
217	217	-19440	0	0	10000
218	218	-19530	0	0	10000
219	219	-19620	0	0	10000
220	220	-19710	0	0	10000
221	221	-19800	0	0	10000
222	222	-19890	0	0	10000
223	223	-19980	0	0	10000
224	224	-20070	0	0	10000
225	225	-20160	0	0	10000
226	226	-20250	0	0	10000
227	227	-20340	0	0	10000
228	228	-20430	0	0	10000
229	229	-20520	0	0	10000
230	230	-20610	0	0	10000
231	231	-20700	0	0	10000
232	232	-20790	0	0	10000
233	233	-20880	0	0	10000
234	234	-20970	0	0	10000
235	235	-21060	0	0	10000
236	236	-21150	0	0	10000
237	237	-21240	0	0	10000
238	238	-21330	0	0	10000
239	239	-21420	0	0	10000
240	240	-21510	0	0	10000
241	241	-21600	0	0	10000
242	242	-21690	0	0	10000
243	243	-21780	0	0	10000
244	244	-21870	0	0	10000
245	245	-21960	0	0	10000
246	246	-22050	0	0	10000
247	247	-22140	0	0	10000
248	248	-22230	0	0	10000
249	249	-22320	0	0	10000
250	250	-22410	0	0	10000
251	251	-22500	0	0	10000
252	252	-22590	0	0	10000
253	253	-22680	0	0	10000
254	254	-22770	0	0	10000
255	255	-22860	0	0	10000
256	256	-22950	0	0	10000
257	257	-23040	0	0	10000
258	258	-23130	0	0	10000
259	259	-23220	0	0	10000
260	260	-23310	0	0	10000
261	261	-23400	0	0	10000
262	262	-23490	0	0	10000
263	263	-23580	0	0	10000
264	264	-23670	0	0	10000
265	265	-23760	0	0	10000
266	266	-23850	0	0	10000
267	267	-23940	0	0	10000
268	268	-24030	0	0	10000
269	269	-24120	0	0	10000
270	270	-24210	0	0	10000
271	271	-24300	0	0	10000
272	272	-24390	0	0	10000
273	273	-24480	0	0	10000
274	274	-24570	0	0	10000
275	275	-24660	0	0	10000
276	276	-24750	0	0	10000
277	277	-24840	0	0	10000
278	278	-24930	0	0	10000
279	279	-25020	0	0	10000
280	280	-25110	0	0	10000
281	281	-25200	0	0	10000
282	282	-25290	0	0	10000
283	283	-25380	0	0	10000
284	284	-25470	0	0	10000
285	285	-25560	0	0	10000
286	286	-25650	0	0	10000
287	287	-25740	0	0	10000
288	288	-25830	0	0	10000
289	289	-25920	0	0	10000
290	290	-26010	0	0	10000
291	291	-26100	0	0	10000
292	292	-26190	0	0	10000
293	293	-26280	0	0	10000
294	294	-26370	0	0	10000
295	295	-26460	0	0	10000
296	296	-26550	0	0	10000
297	297	-26640	0	0	10000
298	298	-26730	0	0	10000
299	299	-26820	0	0	10000
300	300	-26910	0	0	10000
301	301	-27000	0	0	10000
302	302	-27090	0	0	10000
303	303	-27180	0	0	10000
304	304	-27270	0	0	10000
305	305	-27360	0	0	10000
306	306	-27450	0	0	10000
307	307	-27540	0	0	10000
308	308	-27630	0	0	10000
309	309	-27720	0	0	10000
310	310	-27810	0	0	10000
311	311	-27900	0	0	10000
312	312	-27990	0	0	10000
313	313	-28080	0	0	10000
314	314	-28170	0	0	10000
315	315	-28260	0	0	10000
316	316	-28350	0	0	10000
317	317	-28440	0	0	10000
318	318	-28530	0	0	10000
319	319	-28620	0	0	10000
320	320	-28710	0	0	10000
321	321	-28800	0	0	10000
322	322	-28890	0	0	10000
323	323	-28980	0	0	10000
324	324	-29070	0	0	10000
325	325	-29160	0	0	10000
326	326	-29250	0	0	10000
327	327	-29340	0	0	10000
328	328	-29430	0	0	10000
329	329	-29520	0	0	10000
330	330	-29610	0	0	10000
331	331	-29700	0	0	10000
332	332	-29790	0	0	10000
333	333	-29880	0	0	10000
334	334	-29970	0	0	10000
335	335	-30060	0	0	10000
336	336	-30150	0	0	10000
337	337	-30240	0	0	10000
338	338	-30330	0	0	10000
339	339	-30420	0	0	10000
340	340	-30510	0	0	10000
341	341	-30600	0	0	10000
342	342	-30690	0	0	10000
343	343	-30780	0	0	10000
344	344	-30870	0	0	10000
345	345	-30960	0	0	10000
346	346	-31050	0	0	10000
347	347	-31140	0	0	10000
348	348	-31230	0	0	10000
349	349	-31320	0	0	10000
350	350	-31410	0	0	10000
351	351	-31500	0	0	10000
352	352	-31590	0	0	10000
353	353	-31680	0	0	10000
354	354	-31770	0	0	10000
355	355	-31860	0	0	10000
356	356	-31950	0	0	10000
357	357	-32040	0	0	10000
358	358	-32130	0	0	10000
359	359	-32220	0	0	10000
360	360	-32310	0	0	10000
361	361	-32400	0	0	10000
362	362	-32490	0	0	10000
363	363	-32580	0	0	10000
364	364	-32670	0	0	10000
365	365	-32760	0	0	10000
366	366	-32850	0	0	10000
367	367	-32940	0	0	10000
368	368	-33030	0	0	10000
369	369	-33120	0	0	10000
370	370	-33210	0	0	10000
371	371	-33300	0	0	10000
372	372	-33390	0	0	10000
373	373	-33480	0	0	10000
374	374	-33570	0	0	10000
375	375	-33660	0	0	10000
376	376	-33750	0	0	10000
377	377	-33840	0	0	10000
378	378	-33930	0	0	10000
379	379	-34020	0	0	10000
380	380	-34110	0	0	10000
381	381	-34200	0	0	10000
382	382	-34290	0	0	10000
383	383	-34380	0	0	10000
384	384	-34470	0	0	10000
385	385	-34560	0	0	10000
386	386	-34650	0	0	10000
387	387	-34740	0	0	10000
388	388	-34830	0	0	10000
389	389	-34920	0	0	10000
390	390	-35010	0	0	10000
391	391	-35100	0	0	10000
392	392	-35190	0	0	10000
393	393	-35280	0	0	10000
394	394	-35370	0	0	10000
395	395	-35460	0	0	10000
396	396	-35550	0	0	10000
397	397	-35640	0	0	10000
398	398	-35730	0	0	10000
399	399	-35820	0	0	10000
400	400	-35910	0	0	10000
401	401	-36000	0	0	10000
402	402	-36090	0	0	10000
403	403	-36180	0	0	10000
404	404	-36270	0	0	10000
405	405	-36360	0	0	10000
406	406	-36450	0	0	10000
407	407	-36540	0	0	10000
408	408	-36630	0	0	10000
409	409	-36720	0	0	10000
410	410	-36810	0	0	10000
411	411	-36900	0	0	10000
412	412	-36990	0	0	10000
413	413	-37080	0	0	10000
414	414	-37170	0	0	10000
415	415	-37260	0	0	10000
416	416	-37350	0	0	10000
417	417	-37440	0	0	10000
418	418	-37530	0	0	10000
419	419	-37620	0	0	10000
420	420	-37710	0	0	10000
421	421	-37800	0	0	10000
422	422	-37890	0	0	10000
423	423	-37980	0	0	10000
424	424	-38070	0	0	10000
425	425	-38160	0	0	10000
426	426	-38250	0	0	10000
427	427	-38340	0	0	10000
428	428	-38430	0	0	10000
429	429	-38520	0	0	10000
430	430	-38610	0	0	10000
431	431	-38700	0	0	10000
432	432	-38790	0	0	10000
433	433	-38880	0	0	10000
434	434	-38970	0	0	10000
435	435	-39060	0	0	10000
436	436	-39150	0	0	10000
437	437	-39240	0	0	10000
438	438	-39330	0	0	10000
439	439	-39420	0	0	10000
440	440	-39510	0	0	10000
441	441	-39600	0	0	10000
442	442	-39690	0	0	10000
443	443	-39780	0	0	10000
444	444	-39870	0	0	10000
445	445	-39960	0	0	10000
446	446	-40050	0	0	10000
447	447	-40140	0	0	10000
448	448	-40230	0	0	10000
449	449	-40320	0	0	10000
450	450	-40410	0	0	10000
451	451	-40500	0	0	10000
452	452	-40590	0	0	10000
453	453	-40680	0	0	10000
454	454	-40770	0	0	10000
455	455	-40860	0	0	10000
456	456	-40950	0	0	10000
457	457	-41040	0	0	10000
458	458	-41130	0	0	10000
459	459	-41220	0	0	10000
460	460	-41310	0	0	10000
461	461	-41400	0	0	10000
462	462	-41490	0	0	10000
463	463	-41580	0	0	10000
464	464	-41670	0	0	10000
465	465	-41760	0	0	10000
466	466	-41850	0	0	10000
467	467	-41940	0	0	10000
468	468	-42030	0	0	10000
469	469	-42120	0	0	10000
470	470	-42210	0	0	10000
471	471	-42300	0	0	10000
472	472	-42390	0	0	10000
473	473	-42480	0	0	10000
474	474	-42570	0	0	10000
475	475	-42660	0	0	10000
476	476	-42750	0	0	10000
477	477	-42840	0	0	10000
478	478	-42930	0	0	10000
479	479	-43020	0	0	10000
480	480	-43110	0	0	10000
481	481	-43200	0	0	10000
482	482	-43290	0	0	10000
483	483	-43380	0	0	10000
484	484	-43470	0	0	10000
485	485	-43560	0	0	10000
486	486	-43650	0	0	10000
487	487	-43740	0	0	10000
488	488	-43830	0	0	10000
489	489	-43920	0	0	10000
490	490	-44010	0	0	10000
491	491	-44100	0	0	10000
492	492	-44190	0	0	10000
493	493	-44280	0	0	10000
494	494	-44370	0	0	10000
495	495	-44460	0	0	10000
496	496	-44550	0	0	10000
497	497	-44640	0	0	10000
498	498	-44730	0	0	10000
499	499	-44820	0	0	10000
500	500	-44910	0	0	10000
501	501	-45000	0	0	10000
502	502	-45090	0	0	10000
503	503	-45180	0	0	10000
504	504	-45270	0	0	10000
505	505	-45360	0	0	10000
506	506	-45450	0	0	10000
507	507	-45540	0	0	10000
508	508	-45630	0	0	10000
509	509	-45720	0	0	10000
510	510	-45810	0	0	10000
511	511	-45900	0	0	10000
512	512	-45990	0	0	10000
513	513	-46080	0	0	10000
514	514	-46170	0	0	10000
515	515	-46260	0	0	10000
516	516	-46350	0	0	10000
517	517	-46440	0	0	10000
518	518	-46530	0	0	10000
519	519	-46620	0	0	10000
520	520	-46710	0	0	10000
521	521	-46800	0	0	10000
522	522	-46890	0	0	10000
523	523	-46980	0	0	10000
524	524	-47070	0	0	10000
525	525	-47160	0	0	10000
526	526	-47250	0	0	10000
527	527	-47340	0	0	10000
528	528	-47430	0	0	10000
529	529	-47520	0	0	10000
530	530	-47610	0	0	10000
531	531	-47700	0	0	10000
532	532	-47790	0	0	10000
533	533	-47880	0	0	10000
534	534	-47970	0	0	10000
535	535	-48060	0	0	10000
536	536	-48150	0	0	10000
537	537	-48240	0	0	10000
538	538	-48330	0	0	10000
539	539	-48420	0	0	10000
540	540	-48510	0	0	10000
541	541	-48600	0	0	10000
542	542	-48690	0	0	10000
543	543	-48780	0	0	10000
544	544	-48870	0	0	10000
545	545	-48960	0	0	10000
546	546	-49050	0	0	10000
547	547	-49140	0	0	10000
548	548	-49230	0	0	10000
549	549	-49320	0	0	10000
550	550	-49410	0	0	10000
551	551	-49500	0	0	10000
552	552	-49590	0	0	10000
553	553	-49680	0	0	10000
554	554	-49770	0	0	10000
555	555	-49860	0	0	10000
556	556	-49950	0	0	10000
557	557	-50040	0	0	10000
558	558	-50130	0	0	10000
559	559	-50220	0	0	10000
560	560	-50310	0	0	10000
561	561	-50400	0	0	10000
562	562	-50490	0	0	10000
563	563	-50580	0	0	10000
564	564	-50670	0	0	10000
565	565	-50760	0	0	10000
566	566	-50850	0	0	10000
567	567	-50940	0	0	10000
568	568	-51030	0	0	10000
569	569	-51120	0	0	10000
570	570	-51210	0	0	10000
571	571	-51300	0	0	10000
572	572	-51390	0	0	10000
573	573	-51480	0	0	10000
574	574	-51570	0	0	10000
575	575	-51660	0	0	10000
576	576	-51750	0	0	10000
577	577	-51840	0	0	10000
578	578	-51930	0	0	10000
579	579	-52020	0	0	10000
580	580	-52110	0	0	10000
581	581	-52200	0	0	10000
582	582	-52290	0	0	10000
583	583	-52380	0	0	10000
584	584	-52470	0	0	10000
585	585	-52560	0	0	10000
586	586	-52650	0	0	10000
587	587	-52740	0	0	10000
588	588	-52830	0	0	10000
589	589	-52920	0	0	10000
590	590	-53010	0	0	10000
591	591	-53100	0	0	10000
592	592	-53190	0	0	10000
593	593	-53280	0	0	10000
594	594	-53370	0	0	10000
595	595	-53460	0	0	10000
596	596	-53550	0	0	10000
597	597	-53640	0	0	10000
598	598	-53730	0	0	10000
599	599	-53820	0	0	10000
600	600	-53910	0	0	10000
601	601	-54000	0	0	10000
602	602	-54090	0	0	10000
603	603	-54180	0	0	10000
604	604	-54270	0	0	10000
605	605	-54360	0	0	10000
606	606	-54450	0	0	10000
607	607	-54540	0	0	10000
608	608	-54630	0	0	10000
609	609	-54720	0	0	10000
610	610	-54810	0	0	10000
611	611	-54900	0	0	10000
612	612	-54990	0	0	10000
613	613	-55080	0	0	10000
614	614	-55170	0	0	10000
615	615	-55260	0	0	10000
616	616	-55350	0	0	10000
617	617	-55440	0	0	10000
618	618	-55530	0	0	10000
619	619	-55620	0	0	10000
620	620	-55710	0	0	10000
621	621	-55800	0	0	10000
622	622	-55890	0	0	10000
623	623	-55980	0	0	10000
624	624	-56070	0	0	10000
625	625	-56160	0	0	10000
626	626	-56250	0	0	10000
627	627	-56340	0	0	10000
628	628	-56430	0	0	10000
629	629	-56520	0	0	10000
630	630	-56610	0	0	10000
631	631	-56700	0	0	10000
632	632	-56790	0	0	10000
633	633	-56880	0	0	10000
634	634	-56970	0	0	10000
635	635	-57060	0	0	10000
636	636	-57150	0	0	10000
637	637	-57240	0	0	10000
638	638	-57330	0	0	10000
639	639	-57420	0	0	10000
640	640	-57510	0	0	10000
641	641	-57600	0	0	10000
642	642	-57690	0	0	10000
643	643	-57780	0	0	10000
644	644	-57870	0	0	10000
645	645	-57960	0	0	10000
646	646	-58050	0	0	10000
647	647	-58140	0	0	10000
648	648	-58230	0	0	10000
649	649	-58320	0	0	10000
650	650	-58410	0	0	10000
651	651	-58500	0	0	10000
652	652	-58590	0	0	10000
653	653	-58680	0	0	10000
654	654	-58770	0	0	10000
655	655	-58860	0	0	10000
656	656	-58950	0	0	10000
657	657	-59040	0	0	10000
658	658	-59130	0	0	10000
659	659	-59220	0	0	10000
660	660	-59310	0	0	10000
661	661	-59400	0	0	10000
662	662	-59490	0	0	10000
663	663	-59580	0	0	10000
664	664	-59670	0	0	10000
665	665	-59760	0	0	10000
666	666	-59850	0	0	10000
667	667	-59940	0	0	10000
668	668	-60030	0	0	10000
669	669	-60120	0	0	10000
670	670	-60210	0	0	10000
671	671	-60300	0	0	10000
672	672	-60390	0	0	10000
673	673	-60480	0	0	10000
674	674	-60570	0	0	10000
675	675	-60660	0	0	10000
676	676	-60750	0	0	10000
677	677	-60840	0	0	10000
678	678	-60930	0	0	10000
679	679	-61020	0	0	10000
680	680	-61110	0	0	10000
681	681	-61200	0	0	10000
682	682	-61290	0	0	10000
683	683	-61380	0	0	10000
684	684	-61470	0	0	10000
685	685	-61560	0	0	10000
686	686	-61650	0	0	10000
687	687	-61740	0	0	10000
688	688	-61830	0	0	10000
689	689	-61920	0	0	10000
690	690	-62010	0	0	10000
691	691	-62100	0	0	10000
692	692	-62190	0	0	10000
693	693	-62280	0	0	10000
694	694	-62370	0	0	10000
695	695	-62460	0	0	10000
696	696	-62550	0	0	10000
697	697	-62640	0	0	10000
698	698	-62730	0	0	10000
699	699	-62820	0	0	10000
700	700	-62910	0	0	10000
701	701	-63000	0	0	10000
702	702	-63090	0	0	10000
703	703	-63180	0	0	10000
704	704	-63270	0	0	10000
705	705	-63360	0	0	10000
706	706	-63450	0	0	10000
707	707	-63540	0	0	10000
708	708	-63630	0	0	10000
709	709	-63720	0	0	10000
710	710	-63810	0	0	10000
711	711	-63900	0	0	10000
712	712	-63990	0	0	10000
713	713	-64080	0	0	10000
714	714	-64170	0	0	10000
715	715	-64260	0	0	10000
716	716	-64350	0	0	10000
717	717	-64440	0	0	10000
718	718	-64530	0	0	10000
719	719	-64620	0	0	10000
720	720	-64710	0	0	10000
721	721	-64800	0	0	10000
722	722	-64890	0	0	10000
723	723	-64980	0	0	10000
724	724	-65070	0	0	10000
725	725	-65160	0	0	10000
726	726	-65250	0	0	10000
727	727	-65340	0	0	10000
728	728	-65430	0	0	10000
729	729	-65520	0	0	10000
730	730	-65610	0	0	10000
731	731	-65700	0	0	10000
732	732	-65790	0	0	10000
733	733	-65880	0	0	10000
734	734	-65970	0	0	10000
735	735	-66060	0	0	10000
736	736	-66150	0	0	10000
737	737	-66240	0	0	10000
738	738	-66330	0	0	10000
739	739	-66420	0	0	10000
740	740	-66510	0	0	10000
741	741	-66600	0	0	10000
742	742	-66690	0	0	10000
743	743	-66780	0	0	10000
744	744	-66870	0	0	10000
745	745	-66960	0	0	10000
746	746	-67050	0	0	10000
747	747	-67140	0	0	10000
748	748	-67230	0	0	10000
749	749	-67320	0	0	10000
750	750	-67410	0	0	10000
751	751	-67500	0	0	10000
752	752	-67590	0	0	10000
753	753	-67680	0	0	10000
754	754	-67770	0	0	10000
755	755	-67860	0	0	10000
756	756	-67950	0	0	10000
757	757	-68040	0	0	10000
758	758	-68130	0	0	10000
759	759	-68220	0	0	10000
760	760	-68310	0	0	10000
761	761	-68400	0	0	10000
762	762	-68490	0	0	10000
763	763	-68580	0	0	10000
764	764	-68670	0	0	10000
765	765	-68760	0	0	10000
766	766	-68850	0	0	10000
767	767	-68940	0	0	10000
768	768	-69030	0	0	10000
769	769	-69120	0	0	10000
770	770	-69210	0	0	10000
771	771	-69300	0	0	10000
772	772	-69390	0	0	10000
773	773	-69480	0	0	10000
774	774	-69570	0	0	10000
775	775	-69660	0	0	10000
776	776	-69750	0	0	10000
777	777	-69840	0	0	10000
778	778	-69930	0	0	10000
779	779	-70020	0	0	10000
780	780	-70110	0	0	10000
781	781	-70200	0	0	10000
782	782	-70290	0	0	10000
783	783	-70380	0	0	10000
784	784	-70470	0	0	10000
785	785	-70560	0	0	10000
786	786	-70650	0	0	10000
787	787	-70740	0	0	10000
788	788	-70830	0	0	10000
789	789	-70920	0	0	10000
790	790	-71010	0	0	10000
791	791	-71100	0	0	10000
792	792	-71190	0	0	10000
793	793	-71280	0	0	10000
794	794	-71370	0	0	10000
795	795	-71460	0	0	10000
796	796	-71550	0	0	10000
797	797	-71640	0	0	10000
798	798	-71730	0	0	10000
799	799	-71820	0	0	10000
800	800	-71910	0	0	10000
801	801	-72000	0	0	10000
802	802	-72090	0	0	10000
803	803	-72180	0	0	10000
804	804	-72270	0	0	10000
805	805	-72360	0	0	10000
806	806	-72450	0	0	10000
807	807	-72540	0	0	10000
808	808	-72630	0	0	10000
809	809	-72720	0	0	10000
810	810	-72810	0	0	10000
811	811	-72900	0	0	10000
812	812	-72990	0	0	10000
813	813	-73080	0	0	10000
814	814	-73170	0	0	10000
815	815	-73260	0	0	10000
816	816	-73350	0	0	10000
817	817	-73440	0	0	10000
818	818	-73530	0	0	10000
819	819	-73620	0	0	10000
820	820	-73710	0	0	10000
821	821	-73800	0	0	10000
822	822	-73890	0	0	10000
823	823	-73980	0	0	10000
824	824	-74070	0	0	10000
825	825	-74160	0	0	10000
826	826	-74250	0	0	10000
827	827	-74340	0	0	10000
828	828	-74430	0	0	10000
829	829	-74520	0	0	10000
830	830	-74610	0	0	10000
831	831	-74700	0	0	10000
832	832	-74790	0	0	10000
833	833	-74880	0	0	10000
834	834	-74970	0	0	10000
835	835	-75060	0	0	10000
836	836	-75150	0	0	10000
837	837	-75240	0	0	10000
838	838	-75330	0	0	10000
839	839	-75420	0	0	10000
840	840	-75510	0	0	10000
841	841	-75600	0	0	10000
842	842	-75690	0	0	10000
843	843	-75780	0	0	10000
844	844	-75870	0	0	10000
845	845	-75960	0	0	10000
846	846	-76050	0	0	10000
847	847	-76140	0	0	10000
848	848	-76230	0	0	10000
849	849	-76320	0	0	10000
850	850	-76410	0	0	10000
851	851	-76500	0	0	10000
852	852	-76590	0	0	10000
853	853	-76680	0	0	10000
854	854	-76770	0	0	10000
855	855	-76860	0	0	10000
856	856	-76950	0	0	10000
857	857	-77040	0	0	10000
858	858	-77130	0	0	10000
859	859	-77220	0	0	10000
860	860	-77310	0	0	10000
861	861	-77400	0	0	10000
862	862	-77490	0	0	10000
863	863	-77580	0	0	10000
864	864	-77670	0	0	10000
865	865	-77760	0	0	10000
866	866	-77850	0	0	10000
867	867	-77940	0	0	10000
868	868	-78030	0	0	10000
869	869	-78120	0	0	10000
870	870	-78210	0	0	10000
871	871	-78300	0	0	10000
872	872	-78390	0	0	10000
873	873	-78480	0	0	10000
874	874	-78570	0	0	10000
875	875	-78660	0	0	10000
876	876	-78750	0	0	10000
877	877	-78840	0	0	10000
878	878	-78930	0	0	10000
879	879	-79020	0	0	10000
880	880	-79110	0	0	10000
881	881	-79200	0	0	10000
882	882	-79290	0	0	10000
883	883	-79380	0	0	10000
884	884	-79470	0	0	10000
885	885	-79560	0	0	10000
886	886	-79650	0	0	10000
887	887	-79740	0	0	10000
888	888	-79830	0	0	10000
889	889	-79920	0	0	10000
890	890	-80010	0	0	10000
891	891	-80100	0	0	10000
892	892	-80190	0	0	10000
893	893	-80280	0	0	10000
894	894	-80370	0	0	10000
895	895	-80460	0	0	10000
896	896	-80550	0	0	10000
897	897	-80640	0	0	10000
898	898	-80730	0	0	10000
899	899	-80820	0	0	10000
900	900	-80910	0	0	10000
901	901	-81000	0	0	10000
902	902	-81090	0	0	10000
903	903	-81180	0	0	10000
904	904	-81270	0	0	10000
905	905	-81360	0	0	10000
906	906	-81450	0	0	10000
907	907	-81540	0	0	10000
908	908	-81630	0	0	10000
909	909	-81720	0	0	10000
910	910	-81810	0	0	10000
911	911	-81900	0	0	10000
912	912	-81990	0	0	10000
913	913	-82080	0	0	10000
914	914	-82170	0	0	10000
915	915	-82260	0	0	10000
916	916	-82350	0	0	10000
917	917	-82440	0	0	10000
918	918	-82530	0	0	10000
919	919	-82620	0	0	10000
